ID,State,City,Death,Injury,School Type,Name School,Day,Year,Month Name,Month
157,Missouri,University City,0,1,Elementary,Pershing Elementary School,30,2015,Mar,3
158,Nebraska,Omaha,2,2,High,Millard South High School,5,2011,Jan,1
159,Nevada,Las Vegas,1,0,High,Canyon Springs High School,11,2018,Sep,9
160,Nevada,North Las Vegas,1,0,High,Mojave High School,20,2015,Nov,11
161,Nevada,Reno,0,2,Middle,Pine Middle School,14,2006,Mar,3
162,Nevada,Sparks,2,2,Middle,Sparks Middle School,21,2013,Oct,10
163,NewJersey,Jersey City,0,1,High,Lincoln High School,29,2002,Oct,10
164,NewJersey,Jersey City,0,0,High,Snyder High School,2,2019,Jan,1
165,NewMexico,Aztec,3,0,High,Aztec High School,7,2017,Dec,12
166,NewMexico,Rio Rancho,0,0,High,Cleveland High School ,14,2019,Feb,2
167,NewMexico,Roswell,0,3,Middle,Berrendo Middle School,14,2014,Jan,1
168,NewYork,East Greenbush,0,1,High,Columbia High School ,9,2004,Feb,2
169,NewYork,New York City,0,2,High,Martin Luther King Jr. High School,15,2002,Jan,1
170,NorthCarolina,Albemarle,0,1,High,Albemarle High School,30,2014,Sep,9
171,NorthCarolina,Bladenboro,0,1,High,West Bladen High School,11,2010,May,5
172,NorthCarolina,Charlotte,2,4,University,University of North Carolina at Charlotte,30,2019,Apr,4
173,NorthCarolina,Fayetteville,0,1,High,Cape Fear High School ,24,2011,Oct,10
174,NorthCarolina,Goldsboro,1,0,College,Wayne Community College,13,2015,Apr,4
175,NorthCarolina,Greensboro,0,1,University,North Carolina A&T State University,2,2013,Nov,11
176,NorthCarolina,Hillsborough,1,2,High,Columbine High school ,30,2006,Aug,8
177,NorthCarolina,Matthews,1,1,High,Canyon Springs High School,29,2018,Oct,10
178,NorthCarolina,Salisbury,0,1,High,Salisbury High School ,10,2014,Feb,2
179,NorthCarolina,Winston-Salem,0,1,High,Carver High School,30,2013,Aug,8
180,NorthCarolina,Winston-Salem,1,1,University,Winston-Salem State University,1,2015,Nov,11
181,NorthCarolina,Winston-Salem,1,0,University,Wake Forest University,20,2018,Jan,1
182,Ohio,Chardon,3,3,High,Chardon High School,27,2012,Feb,2
183,Ohio,Cleveland,1,5,High,Successes alternative High school,10,2007,Oct,10
184,Ohio,Cleveland,1,2,University,Case Western Reserve University,9,2003,May,5
185,Ohio,Columbus,2,1,University,Ohio State University,9,2010,Mar,3
186,Ohio,Columbus,0,2,High,Linden McKinley STEM Academy,13,2016,Oct,10
